Round number, Team 1 size,Team 2 size, Game rounds, Duration, Winning team
1, 10,10,46,0.001,New York Gangs
2, 10,10,46,0.001,New York Gangs
3, 10,10,72,0.001,New York Gangs
4, 10,10,42,0.0015,Pirates of the Caribbean
5, 10,10,42,0.001,New York Gangs
6, 10,10,30,0.0005,New York Gangs
7, 10,10,44,0.0015,New York Gangs
8, 10,10,30,0.001,New York Gangs
9, 10,10,40,0.001,Pirates of the Caribbean
10, 10,10,34,0.001,New York Gangs
11, 10,10,26,0.0005,Pirates of the Caribbean
12, 10,10,36,0.001,Pirates of the Caribbean
13, 10,10,32,0.0005,Pirates of the Caribbean
14, 10,10,32,0.001,New York Gangs
15, 10,10,34,0.0005,New York Gangs
16, 10,10,32,0.0005,New York Gangs
17, 10,10,38,0.001,Pirates of the Caribbean
18, 10,10,38,0.0015,Pirates of the Caribbean
19, 10,10,36,0.0015,New York Gangs
20, 10,10,40,0.001,Pirates of the Caribbean
21, 10,10,26,0.001,New York Gangs
22, 10,10,34,0.0005,Pirates of the Caribbean
23, 10,10,54,0.0015,Pirates of the Caribbean
24, 10,10,42,0.0009,Pirates of the Caribbean
25, 10,10,86,0.001,New York Gangs
26, 10,10,32,0.001,New York Gangs
27, 10,10,26,0.001,New York Gangs
28, 10,10,52,0.0015,Pirates of the Caribbean
29, 10,10,46,0.001,New York Gangs
30, 10,10,22,0.0005,New York Gangs
31, 10,10,64,0.001,Pirates of the Caribbean
32, 10,10,96,0.0015,Pirates of the Caribbean
33, 10,10,60,0.001,New York Gangs
34, 10,10,22,0.0005,New York Gangs
35, 10,10,22,0.0005,Pirates of the Caribbean
36, 10,10,48,0.001,New York Gangs
37, 10,10,64,0.0015,Pirates of the Caribbean
38, 10,10,52,0.001,New York Gangs
39, 10,10,26,0.001,Pirates of the Caribbean
40, 10,10,40,0.0005,Pirates of the Caribbean
1, 100,100,76,0.0481,New York Gangs
2, 100,100,50,0.0377,New York Gangs
3, 100,100,72,0.0506,Pirates of the Caribbean
4, 100,100,46,0.0461,New York Gangs
5, 100,100,46,0.0495,New York Gangs
6, 100,100,50,0.0541,Pirates of the Caribbean
7, 100,100,76,0.0402,New York Gangs
8, 100,100,52,0.0411,New York Gangs
9, 100,100,80,0.0437,New York Gangs
10, 100,100,42,0.0466,New York Gangs
11, 100,100,68,0.0531,New York Gangs
12, 100,100,54,0.0372,Pirates of the Caribbean
13, 100,100,52,0.0402,New York Gangs
14, 100,100,56,0.0352,Pirates of the Caribbean
15, 100,100,52,0.053,New York Gangs
16, 100,100,60,0.0546,Pirates of the Caribbean
17, 100,100,52,0.0521,New York Gangs
18, 100,100,66,0.0625,New York Gangs
19, 100,100,64,0.0417,Pirates of the Caribbean
20, 100,100,62,0.0332,New York Gangs
21, 100,100,40,0.0446,New York Gangs
22, 100,100,60,0.0387,Pirates of the Caribbean
23, 100,100,80,0.0452,New York Gangs
24, 100,100,112,0.0501,Pirates of the Caribbean
25, 100,100,50,0.0442,Pirates of the Caribbean
26, 100,100,56,0.0327,Pirates of the Caribbean
27, 100,100,52,0.0382,Pirates of the Caribbean
28, 100,100,60,0.052,New York Gangs
29, 100,100,48,0.0382,New York Gangs
30, 100,100,46,0.0401,New York Gangs
31, 100,100,52,0.0417,New York Gangs
32, 100,100,44,0.0372,New York Gangs
33, 100,100,48,0.0392,Pirates of the Caribbean
34, 100,100,56,0.0535,New York Gangs
35, 100,100,54,0.0491,New York Gangs
36, 100,100,64,0.0471,Pirates of the Caribbean
37, 100,100,76,0.0476,Pirates of the Caribbean
38, 100,100,96,0.055,New York Gangs
39, 100,100,44,0.0382,New York Gangs
40, 100,100,64,0.0526,New York Gangs
1, 1000,1000,88,3.7244,Pirates of the Caribbean
2, 1000,1000,70,4.4908,Pirates of the Caribbean
3, 1000,1000,82,3.5261,Pirates of the Caribbean
4, 1000,1000,66,4.1555,New York Gangs
5, 1000,1000,64,4.0117,New York Gangs
6, 1000,1000,110,3.3425,New York Gangs
7, 1000,1000,94,3.4353,Pirates of the Caribbean
8, 1000,1000,70,3.7408,New York Gangs
9, 1000,1000,84,4.6679,New York Gangs
10, 1000,1000,90,4.3653,New York Gangs
11, 1000,1000,70,3.8152,Pirates of the Caribbean
12, 1000,1000,72,4.0727,Pirates of the Caribbean
13, 1000,1000,96,3.5463,Pirates of the Caribbean
14, 1000,1000,62,3.6441,Pirates of the Caribbean
15, 1000,1000,62,4.1014,New York Gangs
16, 1000,1000,68,3.9754,Pirates of the Caribbean
17, 1000,1000,62,3.7512,Pirates of the Caribbean
18, 1000,1000,82,4.0459,Pirates of the Caribbean
19, 1000,1000,70,4.1387,New York Gangs
20, 1000,1000,70,3.9472,Pirates of the Caribbean
21, 1000,1000,78,3.9616,New York Gangs
22, 1000,1000,94,3.6391,Pirates of the Caribbean
23, 1000,1000,74,4.1936,Pirates of the Caribbean
24, 1000,1000,74,4.3846,New York Gangs
25, 1000,1000,62,3.9472,Pirates of the Caribbean
26, 1000,1000,74,3.5449,New York Gangs
27, 1000,1000,64,3.7165,Pirates of the Caribbean
28, 1000,1000,90,3.7136,Pirates of the Caribbean
29, 1000,1000,62,3.7483,New York Gangs
30, 1000,1000,58,3.225,Pirates of the Caribbean
31, 1000,1000,78,3.7672,Pirates of the Caribbean
32, 1000,1000,64,3.5533,Pirates of the Caribbean
33, 1000,1000,72,3.2473,Pirates of the Caribbean
34, 1000,1000,74,3.8476,Pirates of the Caribbean
35, 1000,1000,62,3.6511,Pirates of the Caribbean
36, 1000,1000,66,4.7403,New York Gangs
37, 1000,1000,56,3.4928,Pirates of the Caribbean
38, 1000,1000,100,4.1624,Pirates of the Caribbean
39, 1000,1000,86,4.0151,Pirates of the Caribbean
40, 1000,1000,70,4.0007,Pirates of the Caribbean
